Sample.Name,Wavelength,Genotype,Mean
971145,X1621.19235,X97,-0.011803518459383908
971145,X1624.779058,X97,-0.012370482823206373
971145,X1628.381671,X97,-0.01366830126750732
971145,X1632.000296,X97,-0.015774577908317496
971145,X1635.635039,X97,-0.018564759367054668
971145,X1639.286009,X97,-0.021714261699526314
971145,X1642.953314,X97,-0.024758000322667888
971145,X1646.637065,X97,-0.027217456949472377
971145,X1650.337371,X97,-0.028762985071105748
971145,X1654.054346,X97,-0.02934727715955631
971145,X1657.788102,X97,-0.029239391506679768
971145,X1661.538753,X97,-0.028933919502801234
971145,X1665.306413,X97,-0.028956099126266018
971145,X1669.091199,X97,-0.02952347280273662
971145,X1672.893228,X97,-0.0304232701788409
971145,X1676.712617,X97,-0.03097186849278178
971145,X1680.549487,X97,-0.030316091945701493
971145,X1684.403957,X97,-0.027692409053544486
971145,X1688.276149,X97,-0.022706773845076668
971145,X1692.166184,X97,-0.015509520946455541
971145,X1696.074188,X97,-0.006820620445486027
971145,X1700.000284,X97,0.0021925392528550727
971145,X1703.944599,X97,0.010145289072936782
971145,X1707.90726,X97,0.015699782609351207
971145,X1711.888394,X97,0.017853953604826257
971145,X1715.888132,X97,0.016232813012820237
971145,X1719.906604,X97,0.011162402348092878
971145,X1723.943942,X97,0.0037056055025855147
971145,X1728.000279,X97,-0.0045754967582418956
971145,X1732.07575,X97,-0.011884484639086477
971145,X1736.17049,X97,-0.01656559615061424
971145,X1740.284637,X97,-0.01746409841251895
971145,X1744.418328,X97,-0.01417186694193074
971145,X1748.571704,X97,-0.0070903437093299436
971145,X1752.744904,X97,0.00270298398674851
971145,X1756.938072,X97,0.01375330031404876
971145,X1761.151352,X97,0.024545538992673824
971145,X1765.384887,X97,0.03375894202434832
971145,X1769.638825,X97,0.04051310507002838
971145,X1773.913313,X97,0.04437293731307949
971145,X1778.208501,X97,0.04515610934766228
971145,X1782.52454,X97,0.042853208830532244
971145,X1786.861581,X97,0.037567782561947635
971145,X1791.219778,X97,0.029523542618508716
971145,X1795.599287,X97,0.019102706933850536
971145,X1800.000264,X97,0.006842142735940536
971145,X1804.422868,X97,-0.0066845567366949285
971145,X1808.867257,X97,-0.02115874310816657
971145,X1813.333595,X97,-0.03694780420221955
971145,X1817.822042,X97,-0.05501738149644479
971145,X1822.332765,X97,-0.07694524123895727
971145,X1826.86593,X97,-0.10434845700333976
971145,X1831.421703,X97,-0.1379781259453783
971145,X1836.000256,X97,-0.17688832329185508
971145,X1840.601759,X97,-0.21787503000592548
971145,X1845.226384,X97,-0.25549273963208347
971145,X1849.874308,X97,-0.2827326677170868
971145,X1854.545706,X97,-0.2922557159550742
971145,X1859.240757,X97,-0.2779547526449039
971145,X1863.95964,X97,-0.23654195361355293
971145,X1868.702538,X97,-0.16842795306367175
971145,X1873.469635,X97,-0.07956272152030819
971145,X1878.261115,X97,0.020015975151206452
971145,X1883.077167,X97,0.11813948325743347
971145,X1887.917981,X97,0.20272318081173188
971145,X1892.783747,X97,0.2643294013590276
971145,X1897.674659,X97,0.2979242629532962
971145,X1902.590913,X97,0.3034731697283988
971145,X1907.532705,X97,0.2853155183250373
971145,X1912.500237,X97,0.2506481313388814
971145,X1917.493708,X97,0.2076625108595667
971145,X1922.513323,X97,0.1638543196691444
971145,X1927.559288,X97,0.12484438564264143
971145,X1932.63181,X97,0.09380128110827404
971145,X1937.7311,X97,0.07147749260671182
971145,X1942.857371,X97,0.05611911571778728
971145,X1948.010837,X97,0.04569339248653314
971145,X1953.191715,X97,0.03821269213844017
971145,X1958.400224,X97,0.03225266248825692
971145,X1963.636586,X97,0.027078427839851572
971145,X1968.901025,X97,0.022459629412519132
971145,X1974.193768,X97,0.018359413280597148
971145,X1979.515043,X97,0.0146788028866624
971145,X1984.865081,X97,0.011163452689183357
971145,X1990.244117,X97,0.007476898406431784
971145,X1995.652387,X97,0.0033658921930082605
971145,X2001.09013,X97,-0.0011601990477264742
971145,X2006.557587,X97,-0.005806806728829756
971145,X2012.055002,X97,-0.01007336328059687
971145,X2017.582624,X97,-0.01344675923680238
971145,X2023.1407,X97,-0.0155694081037494
971145,X2028.729484,X97,-0.01632467570248878
971145,X2034.349231,X97,-0.015829937289323817
971145,X2040.000199,X97,-0.014364411461700378
971145,X2045.682649,X97,-0.012279749789700867
971145,X2051.396843,X97,-0.009932433369424948
971145,X2057.143051,X97,-0.0076488495265033055
971145,X2062.92154,X97,-0.005711721964016573
971145,X2068.732584,X97,-0.004322856418336727
971145,X2074.576459,X97,-0.0035567181992028148
971145,X2080.453444,X97,-0.0033062899590607063
971145,X2086.36382,X97,-0.00329635252316321
971145,X2092.307874,X97,-0.0031374567140704775
971145,X2098.285894,X97,-0.0024531381232494086
971145,X2104.298172,X97,-0.0010301006555701873
971145,X2110.345003,X97,0.0010695017867914137
971145,X2116.426686,X97,0.003487389817388165
971145,X2122.543524,X97,0.005661473507864501
971145,X2128.695821,X97,0.007003525645873494
971145,X2134.883888,X97,0.007089442419737041
971145,X2141.108036,X97,0.005762604140271382
971145,X2147.368583,X97,0.0031500291025641555
971145,X2153.665849,X97,-5.111073432451323e-4
971145,X2160.000158,X97,-0.00508810243051071
971145,X2166.371837,X97,-0.010699766131221991
971145,X2172.781218,X97,-0.01771527927655692
971145,X2179.228637,X97,-0.026582669269015504
971145,X2185.714434,X97,-0.03753702190206848
