Sample.Name,Wavelength,Genotype,Mean
971145,X1868.702538,X97,25.26631984
971145,X1873.469635,X97,22.55613946
971145,X1878.261115,X97,19.66899099
971145,X1883.077167,X97,16.80426948
971145,X1887.917981,X97,14.15939192
971145,X1892.783747,X97,11.89504221
971145,X1897.674659,X97,10.10963352
971145,X1902.590913,X97,8.853439933
971145,X1907.532705,X97,8.031303425
971145,X1912.500237,X97,7.54037132
971145,X1917.493708,X97,7.270980835
971145,X1922.513323,X97,7.13597685
971145,X1927.559288,X97,7.084750891
971145,X1932.63181,X97,7.099942209
971145,X1937.7311,X97,7.182887872
971145,X1942.857371,X97,7.337040969
971145,X1948.010837,X97,7.557079321
971145,X1953.191715,X97,7.827220134
971145,X1958.400224,X97,8.127234667
971145,X1963.636586,X97,8.441873975
971145,X1968.901025,X97,8.765340753
971145,X1974.193768,X97,9.10233327
971145,X1979.515043,X97,9.461140812
971145,X1984.865081,X97,9.846590981
971145,X1990.244117,X97,10.25623598
971145,X1995.652387,X97,10.68085527
971145,X2001.09013,X97,11.10827899
971145,X2006.557587,X97,11.52793816
971145,X2012.055002,X97,11.9335871
971145,X2017.582624,X97,12.32317084
971145,X2023.1407,X97,12.69662761
971145,X2028.729484,X97,13.05319732
971145,X2034.349231,X97,13.39017904
971145,X2040.000199,X97,13.70588106
971145,X2045.682649,X97,14.00012294
971145,X2051.396843,X97,14.27621326
971145,X2057.143051,X97,14.54053936
971145,X2062.92154,X97,14.80057633
971145,X2068.732584,X97,15.0623333
971145,X2074.576459,X97,15.32842044
971145,X2080.453444,X97,15.59762339
971145,X2086.36382,X97,15.86602167
971145,X2092.307874,X97,16.12896556
971145,X2098.285894,X97,16.38296326
971145,X2104.298172,X97,16.62655965
971145,X2110.345003,X97,16.86170253
971145,X2116.426686,X97,17.09287951
971145,X2122.543524,X97,17.32635061
971145,X2128.695821,X97,17.56929825
971145,X2134.883888,X97,17.82818065
971145,X2141.108036,X97,18.10665861
971145,X2147.368583,X97,18.40373924
971145,X2153.665849,X97,18.71308551
971145,X2160.000158,X97,19.02423484
971145,X2166.371837,X97,19.32571456
971145,X2172.781218,X97,19.60895849
971145,X2179.228637,X97,19.87086517
971145,X2185.714434,X97,20.11215319
971145,X2192.238952,X97,20.33542602
971145,X2198.802538,X97,20.53469291
971145,X2205.405546,X97,20.69166899
971145,X2212.048331,X97,20.77601865
971145,X2218.731253,X97,20.7518779
971145,X2225.454678,X97,20.5890901
971145,X2232.218975,X97,20.27466339
971145,X2239.024517,X97,19.81947404
971145,X2245.871684,X97,19.25741326
971145,X2252.760858,X97,18.63755205
971145,X2259.692427,X97,18.01232828
971145,X2266.666783,X97,17.4259689
971145,X2273.684324,X97,16.90789384
971145,X2280.745452,X97,16.45728382
971145,X2287.850574,X97,16.05947456
971145,X2295.000104,X97,15.69230382
971145,X2302.194458,X97,15.33537981
971145,X2309.43406,X97,14.97654431
971145,X2316.719338,X97,14.6138848
971145,X2324.050724,X97,14.25361424
971145,X2331.42866,X97,13.9054802
971145,X2338.853588,X97,13.57781766
971145,X2346.32596,X97,13.27409543
971145,X2353.846232,X97,12.99189698
971145,X2361.414866,X97,12.72412324
971145,X2369.03233,X97,12.46076023
971145,X2376.699097,X97,12.19147601
971145,X2384.415649,X97,11.90829628
971145,X2392.182471,X97,11.60546935
971145,X2400.000057,X97,11.27958712
971145,X2407.868906,X97,10.92950896
971145,X2415.789523,X97,10.55636532
971145,X2423.762422,X97,10.16379079
971145,X2431.788122,X97,9.75834625
971145,X2439.867148,X97,9.349784613
971145,X2448.000034,X97,8.950610693
971145,X2456.187321,X97,8.574472973
971145,X2464.429556,X97,8.233814984
971145,X2472.727295,X97,7.940460172
971145,X2481.081099,X97,7.695102025
971145,X2489.491539,X97,7.497820409
971145,X2497.959193,X97,7.3470832
971145,X2506.484647,X97,7.240694326
971145,X2515.068494,X97,7.175299122
971145,X2523.711336,X97,7.145001317
971145,X2532.413785,X97,7.140497545
971145,X2541.176458,X97,7.149860804
971145,X2549.999982,X97,7.160757524
971316,X1350.000323,X97,51.11337699
971316,X1352.48651,X97,50.63252606
971316,X1354.981872,X97,50.09522061
971316,X1357.486459,X97,49.46860587
971316,X1360.000322,X97,48.77179168
971316,X1362.523513,X97,48.0616686
971316,X1365.056084,X97,47.39441481
971316,X1367.598087,X97,46.78492715
971316,X1370.149576,X97,46.17765069
971316,X1372.710602,X97,45.47476895
971316,X1375.28122,X97,44.57925716
971316,X1377.861485,X97,43.4337847
971316,X1380.451449,X97,42.0394078
971316,X1383.051169,X97,40.44491665
971316,X1385.660698,X97,38.71679178
971316,X1388.280094,X97,36.91006685
971316,X1390.909412,X97,35.05639601
971316,X1393.548708,X97,33.17284188
971316,X1396.198039,X97,31.28143031
971316,X1398.857463,X97,29.43562716
971316,X1401.527038,X97,27.70629016
971316,X1404.206821,X97,26.15979131
971316,X1406.896872,X97,24.83483064
971316,X1409.597249,X97,23.72819901
971316,X1412.308012,X97,22.79885915
971316,X1415.029221,X97,21.98896551
971316,X1417.760937,X97,21.25182383
971316,X1420.50322,X97,20.57236697
971316,X1423.256133,X97,19.96865628
971316,X1426.019736,X97,19.47942857
971316,X1428.794093,X97,19.12905806
971316,X1431.579266,X97,18.90479682
971316,X1434.375318,X97,18.76959392
971316,X1437.182314,X97,18.67522751
971316,X1440.000318,X97,18.58474396
971316,X1442.829394,X97,18.48842524
971316,X1445.669608,X97,18.40405574
971316,X1448.521027,X97,18.36174705
971316,X1451.383716,X97,18.38307499
971316,X1454.257742,X97,18.46699079
971316,X1457.143173,X97,18.59039546
971316,X1460.040077,X97,18.71964337
971316,X1462.948523,X97,18.83552543
971316,X1465.868579,X97,18.94503171
971316,X1468.800315,X97,19.07444119
971316,X1471.743802,X97,19.25342748
971316,X1474.69911,X97,19.49785552
971316,X1477.66631,X97,19.80114628
971316,X1480.645475,X97,20.13884803
971316,X1483.636678,X97,20.48361964
971316,X1486.63999,X97,20.82163499
971316,X1489.655486,X97,21.16041061
971316,X1492.68324,X97,21.5268722
971316,X1495.723327,X97,21.93966192
971316,X1498.775823,X97,22.39944506
971316,X1501.840803,X97,22.88471716
971316,X1504.918345,X97,23.36179735
971316,X1508.008525,X97,23.80273365
971316,X1511.111422,X97,24.20079653
971316,X1514.227115,X97,24.57412115
971316,X1517.355682,X97,24.95504265
971316,X1520.497205,X97,25.37131136
971316,X1523.651762,X97,25.82989658
971316,X1526.819436,X97,26.31272955
971316,X1530.000309,X97,26.78231374
971316,X1533.194463,X97,27.21138439
971316,X1536.401982,X97,27.59665838
971316,X1539.62295,X97,27.95956459
971316,X1542.857451,X97,28.33368741
971316,X1546.105571,X97,28.74536132
971316,X1549.367396,X97,29.19841845
971316,X1552.643013,X97,29.67135508
971316,X1555.93251,X97,30.12863875
971316,X1559.235975,X97,30.5401684
971316,X1562.553497,X97,30.89735624
971316,X1565.885166,X97,31.21960323
971316,X1569.231074,X97,31.54252546
971316,X1572.591311,X97,31.89189002
971316,X1575.965969,X97,32.27297323
971316,X1579.355142,X97,32.6697684
971316,X1582.758923,X97,33.05639532
971316,X1586.177408,X97,33.4137761
971316,X1589.610691,X97,33.7419197
971316,X1593.05887,X97,34.06029917
971316,X1596.52204,X97,34.39620748
971316,X1600.0003,X97,34.76813655
971316,X1603.49375,X97,35.17460536
971316,X1607.002488,X97,35.58731405
971316,X1610.526615,X97,35.97220224
971316,X1614.066232,X97,36.30732928
971316,X1617.621443,X97,36.59266708
971316,X1621.19235,X97,36.84865872
971316,X1624.779058,X97,37.10354619
971316,X1628.381671,X97,37.37659881
971316,X1632.000296,X97,37.66643933
971316,X1635.635039,X97,37.95065456
971316,X1639.286009,X97,38.19652366
971316,X1642.953314,X97,38.37689782
971316,X1646.637065,X97,38.4785211
971316,X1650.337371,X97,38.52150273
971316,X1654.054346,X97,38.53338326
971316,X1657.788102,X97,38.54046868
971316,X1661.538753,X97,38.55753386
971316,X1665.306413,X97,38.58408868
971316,X1669.091199,X97,38.60764211
971316,X1672.893228,X97,38.61075098
971316,X1676.712617,X97,38.57747675
971316,X1680.549487,X97,38.49635305
971316,X1684.403957,X97,38.36032478
971316,X1688.276149,X97,38.16519627
971316,X1692.166184,X97,37.91076197
971316,X1696.074188,X97,37.61247092
971316,X1700.000284,X97,37.29308761
971316,X1703.944599,X97,36.9836287
971316,X1707.90726,X97,36.71576189
971316,X1711.888394,X97,36.51197161
971316,X1715.888132,X97,36.37803502
971316,X1719.906604,X97,36.30139266
971316,X1723.943942,X97,36.25634842
971316,X1728.000279,X97,36.21393078
971316,X1732.07575,X97,36.15186664
971316,X1736.17049,X97,36.05948184
971316,X1740.284637,X97,35.93786577
971316,X1744.418328,X97,35.79519159
971316,X1748.571704,X97,35.6360198
971316,X1752.744904,X97,35.46170848
971316,X1756.938072,X97,35.27422701
971316,X1761.151352,X97,35.08193008
971316,X1765.384887,X97,34.90277103
971316,X1769.638825,X97,34.76192992
971316,X1773.913313,X97,34.68421741
971316,X1778.208501,X97,34.68477899
971316,X1782.52454,X97,34.76300978
971316,X1786.861581,X97,34.90379783
971316,X1791.219778,X97,35.08129604
971316,X1795.599287,X97,35.27040612
971316,X1800.000264,X97,35.45875067
971316,X1804.422868,X97,35.643272
971316,X1808.867257,X97,35.82392206
971316,X1813.333595,X97,35.99585041
971316,X1817.822042,X97,36.14519004
971316,X1822.332765,X97,36.25096232
971316,X1826.86593,X97,36.29148083
971316,X1831.421703,X97,36.24983463
971316,X1836.000256,X97,36.1128844
971316,X1840.601759,X97,35.85894881
971316,X1845.226384,X97,35.43711537
971316,X1849.874308,X97,34.77997124
971316,X1854.545706,X97,33.79138851
971316,X1859.240757,X97,32.37808783
971316,X1863.95964,X97,30.4844355
971316,X1868.702538,X97,28.12302672
971316,X1873.469635,X97,25.38716761
971316,X1878.261115,X97,22.43951558
971316,X1883.077167,X97,19.48178316
971316,X1887.917981,X97,16.7165379
971316,X1892.783747,X97,14.31108391
971316,X1897.674659,X97,12.37148651
971316,X1902.590913,X97,10.95730899
971316,X1907.532705,X97,9.98673241
971316,X1912.500237,X97,9.36943783
971316,X1917.493708,X97,9.006484361
971316,X1922.513323,X97,8.816518254
971316,X1927.559288,X97,8.747971458
971316,X1932.63181,X97,8.776402519
971316,X1937.7311,X97,8.892899204
971316,X1942.857371,X97,9.091451711
971316,X1948.010837,X97,9.361252767
971316,X1953.191715,X97,9.686002285
971316,X1958.400224,X97,10.04827485
971316,X1963.636586,X97,10.43612021
971316,X1968.901025,X97,10.84250917
971316,X1974.193768,X97,11.26643297
971316,X1979.515043,X97,11.70829034
971316,X1984.865081,X97,12.16595566
971316,X1990.244117,X97,12.63394414
971316,X1995.652387,X97,13.10486822
971316,X2001.09013,X97,13.57158269
971316,X2006.557587,X97,14.02836759
971316,X2012.055002,X97,14.47045603
971316,X2017.582624,X97,14.89267457
971316,X2023.1407,X97,15.28870392
971316,X2028.729484,X97,15.65142467
971316,X2034.349231,X97,15.97526381
971316,X2040.000199,X97,16.26292691
971316,X2045.682649,X97,16.52096107
971316,X2051.396843,X97,16.75934823
971316,X2057.143051,X97,16.98826339
971316,X2062.92154,X97,17.21515814
971316,X2068.732584,X97,17.4434838
971316,X2074.576459,X97,17.67331651
971316,X2080.453444,X97,17.9031711
971316,X2086.36382,X97,18.13163153
971316,X2092.307874,X97,18.35782406
971316,X2098.285894,X97,18.58078082
971316,X2104.298172,X97,18.79850469
971316,X2110.345003,X97,19.00884379
971316,X2116.426686,X97,19.21206535
971316,X2122.543524,X97,19.41309035
971316,X2128.695821,X97,19.62220317
971316,X2134.883888,X97,19.85263102
971316,X2141.108036,X97,20.1154693
971316,X2147.368583,X97,20.41419509
971316,X2153.665849,X97,20.74173748
971316,X2160.000158,X97,21.0819974
971316,X2166.371837,X97,21.4157008
971316,X2172.781218,X97,21.72795627
971316,X2179.228637,X97,22.01333871
971316,X2185.714434,X97,22.27422582
971316,X2192.238952,X97,22.51647773
971316,X2198.802538,X97,22.73399103
971316,X2205.405546,X97,22.90323896
971316,X2212.048331,X97,22.98442806
971316,X2218.731253,X97,22.93181182
971316,X2225.454678,X97,22.70980023
971316,X2232.218975,X97,22.30775157
971316,X2239.024517,X97,21.74668732
971316,X2245.871684,X97,21.07508522
